#Created as New Dataset	Sample 003 By PEService Date Tuesday	 April 30 2013
#cm-1	%T
3291.00	87.05
3290.00	87.03
3289.00	87.02
3288.00	87.02
3287.00	87.01
3286.00	87.01
3285.00	87.00
3284.00	87.00
3283.00	87.00
3282.00	87.00
3281.00	87.00
3280.00	87.00
3279.00	87.00
3278.00	87.01
3277.00	87.01
3276.00	87.01
3275.00	87.01
3274.00	87.02
3273.00	87.03
3272.00	87.04
3271.00	87.05
3270.00	87.07
3269.00	87.08
3268.00	87.09
3267.00	87.09
3266.00	87.10
3265.00	87.11
3264.00	87.12
3263.00	87.14
3262.00	87.15
3261.00	87.17
3260.00	87.19
3259.00	87.21
3258.00	87.22
3257.00	87.24
3256.00	87.26
3255.00	87.27
3254.00	87.29
3253.00	87.30
3252.00	87.31
3251.00	87.33
3250.00	87.34
3249.00	87.36
3248.00	87.37
3247.00	87.39
3246.00	87.41
3245.00	87.42
3244.00	87.44
3243.00	87.46
3242.00	87.48
3241.00	87.49
3240.00	87.51
3239.00	87.52
3238.00	87.53
3237.00	87.55
3236.00	87.56
3235.00	87.58
3234.00	87.60
3233.00	87.61
3232.00	87.63
3231.00	87.65
3230.00	87.68
3229.00	87.70
3228.00	87.73
3227.00	87.76
3226.00	87.79
3225.00	87.83
3224.00	87.86
3223.00	87.88
3222.00	87.91
3221.00	87.94
3220.00	87.97
3219.00	88.01
3218.00	88.05
3217.00	88.09
3216.00	88.13
3215.00	88.17
3214.00	88.20
3213.00	88.24
3212.00	88.28
3211.00	88.32
3210.00	88.36
3209.00	88.41
3208.00	88.45
3207.00	88.50
3206.00	88.54
3205.00	88.58
3204.00	88.62
3203.00	88.66
3202.00	88.70
3201.00	88.75
3200.00	88.79
3199.00	88.83
3198.00	88.86
3197.00	88.90
3196.00	88.94
3195.00	88.97
3194.00	89.01
3193.00	89.05
3192.00	89.08
3191.00	89.12
3190.00	89.16
3189.00	89.20
3188.00	89.24
3187.00	89.27
3186.00	89.31
3185.00	89.34
3184.00	89.37
3183.00	89.39
3182.00	89.42
3181.00	89.45
3180.00	89.48
3179.00	89.51
3178.00	89.54
3177.00	89.57
3176.00	89.60
3175.00	89.62
3174.00	89.65
3173.00	89.67
3172.00	89.70
3171.00	89.72
3170.00	89.74
3169.00	89.77
3168.00	89.79
3167.00	89.82
3166.00	89.84
3165.00	89.87
3164.00	89.89
3163.00	89.91
3162.00	89.93
3161.00	89.95
3160.00	89.97
3159.00	89.99
3158.00	90.01
3157.00	90.02
3156.00	90.04
3155.00	90.05
3154.00	90.07
3153.00	90.08
3152.00	90.10
3151.00	90.12
3150.00	90.13
3149.00	90.15
3148.00	90.16
3147.00	90.18
3146.00	90.19
3145.00	90.20
3144.00	90.21
3143.00	90.22
3142.00	90.23
3141.00	90.24
3140.00	90.24
3139.00	90.25
3138.00	90.26
3137.00	90.27
3136.00	90.28
3135.00	90.29
3134.00	90.29
3133.00	90.29
3132.00	90.30
3131.00	90.30
3130.00	90.30
3129.00	90.30
3128.00	90.31
3127.00	90.31
3126.00	90.31
3125.00	90.31
3124.00	90.31
3123.00	90.30
3122.00	90.30
3121.00	90.29
3120.00	90.28
